uid,ref_id,img_id,sent_id,sent
45_0,45,581282,128,"guy holding purp umbrella in corner near us"
45_1,45,581282,129,"black shirt person holding umbrella"
45_2,45,581282,130,"man in black shirt and jeans"
107_0,107,580668,304,"guy in blue hat jacket"
107_1,107,580668,305,"man"
107_2,107,580668,306,"man on bench"
108_0,108,580668,307,"yellow boots"
108_1,108,580668,308,"brown boots"
108_2,108,580668,309,"yellow boots"
109_0,109,580668,310,"dark car"
109_1,109,580668,311,"blue car in back of the man with hat"
110_0,110,580668,312,"white car"
110_1,110,580668,313,"white car"
110_2,110,580668,314,"the white car"
379_0,379,577725,1074,"man out of frame"
379_1,379,577725,1075,"blue shirted arm"
379_2,379,577725,1076,"man in blue shirt halfway on screen"
380_0,380,577725,1077,"man on tv"
380_1,380,577725,1078,"white guy on tv"
380_2,380,577725,1079,"man on cscreen"
514_0,514,576322,1455,"blue shirt"
514_1,514,576322,1456,"blue"
514_2,514,576322,1457,"blue shirt lady"
515_0,515,576322,1458,"black shirt"
515_1,515,576322,1459,"man in blackjacket holding skate board"
515_2,515,576322,1460,"man with skateboard"
520_0,520,576286,1472,"woman white hair"
520_1,520,576286,1473,"old lady in white"
520_2,520,576286,1474,"old lady"
521_0,521,576286,1475,"red shirt man"
521_1,521,576286,1476,"man in red brown shorts"
521_2,521,576286,1477,"red shirt brown shorts"
522_0,522,576286,1478,"orange guy"
522_1,522,576286,1479,"black socks"
522_2,522,576286,1480,"white man coaching"
523_0,523,576286,1481,"the man in white pants"
523_1,523,576286,1482,"thanks buy in blue with lighter shoes"
523_2,523,576286,1483,"blue shirt being patted by leland"
532_0,532,576188,1509,"player with no head"
532_1,532,576188,1510,"man in white shorts on line"
532_2,532,576188,1511,"guy with no head"
533_0,533,576188,1512,"red shirt player next to striped shirt guy"
533_1,533,576188,1513,"full photo red shirt"
533_2,533,576188,1514,"player number 8"
534_0,534,576188,1515,"the number 2"
534_1,534,576188,1516,"number 2"
534_2,534,576188,1517,"number 2"
552_0,552,575980,1567,"kid standing"
552_1,552,575980,1568,"boy standing up"
552_2,552,575980,1569,"kid standing"
552_3,552,575980,1570,"standing kid holding skateboard"
553_0,553,575980,1571,"kid sitting"
553_1,553,575980,1572,"sitting kid"
553_2,553,575980,1573,"boy on ground"
583_0,583,575649,1657,"taller baby"
583_1,583,575649,1658,"with brush"
583_2,583,575649,1659,"baby with brush"
584_0,584,575649,1660,"kid with hand in mouth"
584_1,584,575649,1661,"boy with fingers in mouth"
635_0,635,574760,1808,"getting hair cut"
635_1,635,574760,1809,"black and white shirt"
635_2,635,574760,1810,"fat girl"
636_0,636,574760,1811,"blond haired woman click black smock"
636_1,636,574760,1812,"lady standing"
636_2,636,574760,1813,"dryer in hand"
727_0,727,573704,2067,"person holding bat and one knee up"
727_1,727,573704,2068,"knee up"
727_2,727,573704,2069,"tallest man"
728_0,728,573704,2070,"guy both players locking at"
728_1,728,573704,2071,"batter closest to pole"
728_2,728,573704,2072,"plater other two are looking at"
729_0,729,573704,2073,"batter covering logo"
729_1,729,573704,2074,"malcolm in the"
729_2,729,573704,2075,"middle player"
751_0,751,573476,2137,"boy reaching"
751_1,751,573476,2138,"boy pointing"
751_2,751,573476,2139,"younger boy"
752_0,752,573476,2140,"the man"
752_1,752,573476,2141,"man wearing glasses"
752_2,752,573476,2142,"man with glasses"
809_0,809,572689,2304,"woman"
809_1,809,572689,2305,"woman"
809_2,809,572689,2306,"girl"
810_0,810,572689,2307,"man"
810_1,810,572689,2308,"man"
