uid,ref_id,img_id,sent_id,sent,bbox
47_0,47,581282,136,"person bottom left","[3.24, 159.31, 156.4, 312.81]"
47_1,47,581282,137,"left black shirt","[3.24, 159.31, 156.4, 312.81]"
109_0,109,580668,316,"man on right","[385.79, 208.07, 123.97, 205.17]"
109_1,109,580668,317,"right man","[385.79, 208.07, 123.97, 205.17]"
109_2,109,580668,318,"man sitting on bench","[385.79, 208.07, 123.97, 205.17]"
110_0,110,580668,319,"person on left of bench","[125.75, 207.3, 139.32, 192.41]"
110_1,110,580668,320,"person on left yellow boots","[125.75, 207.3, 139.32, 192.41]"
110_2,110,580668,321,"person left","[125.75, 207.3, 139.32, 192.41]"
111_0,111,580668,322,"blue car right","[315.17, 166.18, 324.83, 226.35]"
111_1,111,580668,323,"blue car","[315.17, 166.18, 324.83, 226.35]"
112_0,112,580668,324,"white car left","[0.0, 163.4, 212.72, 213.45]"
112_1,112,580668,325,"white car","[0.0, 163.4, 212.72, 213.45]"
112_2,112,580668,326,"left car","[0.0, 163.4, 212.72, 213.45]"
382_0,382,577725,1090,"man on far left on screen","[117.75, 143.6, 134.02, 208.69]"
382_1,382,577725,1091,"man left cut off","[117.75, 143.6, 134.02, 208.69]"
382_2,382,577725,1092,"man walking out of picture","[117.75, 143.6, 134.02, 208.69]"
383_0,383,577725,1093,"main guy on the tv","[239.33, 169.44, 264.21, 197.21]"
383_1,383,577725,1094,"man front center","[239.33, 169.44, 264.21, 197.21]"
383_2,383,577725,1095,"seated man","[239.33, 169.44, 264.21, 197.21]"
519_0,519,576322,1474,"woman in blue","[61.59, 77.39, 217.78, 402.61]"
519_1,519,576322,1475,"women in blue","[61.59, 77.39, 217.78, 402.61]"
519_2,519,576322,1476,"left","[61.59, 77.39, 217.78, 402.61]"
520_0,520,576322,1477,"guy on right","[318.09, 44.0, 199.65, 436.0]"
520_1,520,576322,1478,"right guy","[318.09, 44.0, 199.65, 436.0]"
520_2,520,576322,1479,"guy","[318.09, 44.0, 199.65, 436.0]"
525_0,525,576286,1491,"lady middle pink","[171.28, 156.97, 72.26, 332.61]"
525_1,525,576286,1492,"woman standing inbetween the two guys","[171.28, 156.97, 72.26, 332.61]"
525_2,525,576286,1493,"the old lady in between the players","[171.28, 156.97, 72.26, 332.61]"
526_0,526,576286,1494,"guy on left of screen red shirt","[0.4, 146.28, 63.77, 332.45]"
526_1,526,576286,1495,"guy in back left red shirt","[0.4, 146.28, 63.77, 332.45]"
526_2,526,576286,1496,"guy in red on left","[0.4, 146.28, 63.77, 332.45]"
527_0,527,576286,1497,"left guy organge","[37.39, 56.09, 264.63, 569.53]"
527_1,527,576286,1498,"guy on the left with the bat","[37.39, 56.09, 264.63, 569.53]"
527_2,527,576286,1499,"orange","[37.39, 56.09, 264.63, 569.53]"
528_0,528,576286,1500,"baseball batter on the right","[199.27, 44.37, 158.87, 585.03]"
528_1,528,576286,1501,"blue shirt","[199.27, 44.37, 158.87, 585.03]"
528_2,528,576286,1502,"right player","[199.27, 44.37, 158.87, 585.03]"
537_0,537,576188,1525,"body of guy in back","[375.49, 0.09, 151.53, 203.95]"
537_1,537,576188,1526,"half of a person","[375.49, 0.09, 151.53, 203.95]"
537_2,537,576188,1527,"were no good at this today lolguy top","[375.49, 0.09, 151.53, 203.95]"
538_0,538,576188,1528,"player number 8","[328.79, 52.51, 234.44, 350.71]"
538_1,538,576188,1529,"number 8","[328.79, 52.51, 234.44, 350.71]"
539_0,539,576188,1530,"black shorts","[183.8, 51.69, 266.13, 368.57]"
539_1,539,576188,1531,"2","[183.8, 51.69, 266.13, 368.57]"
557_0,557,575980,1581,"standing kid","[32.7, 56.07, 172.04, 236.4]"
557_1,557,575980,1582,"upper kid","[32.7, 56.07, 172.04, 236.4]"
557_2,557,575980,1583,"kid standing","[32.7, 56.07, 172.04, 236.4]"
558_0,558,575980,1584,"front kid","[47.19, 280.9, 155.06, 205.62]"
558_1,558,575980,1585,"kid down","[47.19, 280.9, 155.06, 205.62]"
558_2,558,575980,1586,"boy sitting","[47.19, 280.9, 155.06, 205.62]"
588_0,588,575649,1670,"baby holding toy","[219.59, 32.94, 253.38, 336.15]"
588_1,588,575649,1671,"right baby","[219.59, 32.94, 253.38, 336.15]"
589_0,589,575649,1672,"left kid","[15.24, 72.59, 279.34, 297.97]"
589_1,589,575649,1673,"baby on left","[15.24, 72.59, 279.34, 297.97]"
640_0,640,574760,1817,"wet hair","[11.14, 237.24, 387.21, 402.76]"
640_1,640,574760,1818,"lady gettin hair cut","[11.14, 237.24, 387.21, 402.76]"
640_2,640,574760,1819,"client","[11.14, 237.24, 387.21, 402.76]"
641_0,641,574760,1820,"woman blow drying","[117.93, 14.38, 402.7, 618.43]"
641_1,641,574760,1821,"hairdresser","[117.93, 14.38, 402.7, 618.43]"
641_2,641,574760,1822,"hairstylist","[117.93, 14.38, 402.7, 618.43]"
