uid,ref_id,img_id,sent_id,sent,bbox
25_0,25,581563,71,"lower left corner darkness","[0.0, 373.89, 137.59, 126.11]"
25_1,25,581563,72,"bpttom left dark","[0.0, 373.89, 137.59, 126.11]"
25_2,25,581563,73,"black van in front of cab","[0.0, 373.89, 137.59, 126.11]"
26_0,26,581563,74,"taxi","[55.67, 381.55, 277.33, 118.45]"
26_1,26,581563,75,"the taxi cab bottom right","[55.67, 381.55, 277.33, 118.45]"
26_2,26,581563,76,"taxi","[55.67, 381.55, 277.33, 118.45]"
27_0,27,581518,77,"top donut","[101.77, 36.9, 242.05, 119.65]"
27_1,27,581518,78,"top of donuts","[101.77, 36.9, 242.05, 119.65]"
27_2,27,581518,79,"top donut","[101.77, 36.9, 242.05, 119.65]"
28_0,28,581518,80,"donut wcolored sprinkles","[94.47, 153.47, 234.12, 112.27]"
28_1,28,581518,81,"middle donut with sprinkles","[94.47, 153.47, 234.12, 112.27]"
28_2,28,581518,82,"second from top","[94.47, 153.47, 234.12, 112.27]"
45_0,45,581346,130,"left zebra butt","[34.93, 55.41, 93.95, 186.09]"
45_1,45,581346,131,"left zebra butt","[34.93, 55.41, 93.95, 186.09]"
45_2,45,581346,132,"zebra on the left","[34.93, 55.41, 93.95, 186.09]"
46_0,46,581346,133,"zebra right butt","[106.0, 50.14, 167.42, 179.47]"
46_1,46,581346,134,"zebra on right","[106.0, 50.14, 167.42, 179.47]"
46_2,46,581346,135,"right zebra butt","[106.0, 50.14, 167.42, 179.47]"
164_0,164,580238,474,"bench the guy is sitting on","[140.03, 314.81, 284.46, 312.19]"
164_1,164,580238,475,"bench man in front is sitting on","[140.03, 314.81, 284.46, 312.19]"
165_0,165,580238,476,"top of bench lower right","[320.64, 431.19, 319.36, 185.19]"
165_1,165,580238,477,"bench closest to us","[320.64, 431.19, 319.36, 185.19]"
165_2,165,580238,478,"the bench closest to the camera","[320.64, 431.19, 319.36, 185.19]"
166_0,166,580238,479,"blurry bench behind the man but not the one hes sitting on","[27.23, 244.33, 160.56, 323.51]"
166_1,166,580238,480,"empty bench in between men","[27.23, 244.33, 160.56, 323.51]"
