uid,ref_id,img_id,sent_id,sent,bbox
25_0,25,581563,69,"large dark item next to car","[0.0, 373.89, 137.59, 126.11]"
25_1,25,581563,70,"black car","[0.0, 373.89, 137.59, 126.11]"
25_2,25,581563,71,"truck closest to trees","[0.0, 373.89, 137.59, 126.11]"
26_0,26,581563,72,"taxi","[55.67, 381.55, 277.33, 118.45]"
26_1,26,581563,73,"taxi","[55.67, 381.55, 277.33, 118.45]"
26_2,26,581563,74,"closest car","[55.67, 381.55, 277.33, 118.45]"
27_0,27,581518,75,"powdered donut","[101.77, 36.9, 242.05, 119.65]"
27_1,27,581518,76,"sugar powdered donut","[101.77, 36.9, 242.05, 119.65]"
27_2,27,581518,77,"white powdered donut","[101.77, 36.9, 242.05, 119.65]"
28_0,28,581518,78,"cholote covered dougnut","[94.47, 153.47, 234.12, 112.27]"
28_1,28,581518,79,"sprinkles even with face almost","[94.47, 153.47, 234.12, 112.27]"
28_2,28,581518,80,"chocolate sprinkles","[94.47, 153.47, 234.12, 112.27]"
43_0,43,581346,122,"whiter but","[34.93, 55.41, 93.95, 186.09]"
43_1,43,581346,123,"ass of zebra","[34.93, 55.41, 93.95, 186.09]"
43_2,43,581346,124,"zebra but with hardly any stripes","[34.93, 55.41, 93.95, 186.09]"
44_0,44,581346,125,"more stripped zebra butt","[106.0, 50.14, 167.42, 179.47]"
44_1,44,581346,126,"thicker zebra stripes","[106.0, 50.14, 167.42, 179.47]"
44_2,44,581346,127,"bigger butt to us","[106.0, 50.14, 167.42, 179.47]"
162_0,162,580238,462,"bench near man","[140.03, 314.81, 284.46, 312.19]"
162_1,162,580238,463,"bench the man is sitting on","[140.03, 314.81, 284.46, 312.19]"
162_2,162,580238,464,"dark railing under mans hand","[140.03, 314.81, 284.46, 312.19]"
163_0,163,580238,465,"fuzzy bench closest to you","[320.64, 431.19, 319.36, 185.19]"
163_1,163,580238,466,"bench blurred in foreground","[320.64, 431.19, 319.36, 185.19]"
164_0,164,580238,467,"part of bench behind arm","[27.23, 244.33, 160.56, 323.51]"
164_1,164,580238,468,"empty bench between people","[27.23, 244.33, 160.56, 323.51]"
164_2,164,580238,469,"farther away benches","[27.23, 244.33, 160.56, 323.51]"
230_0,230,579299,655,"pizza by hands","[148.53, 116.9, 316.31, 71.51]"
230_1,230,579299,656,"farthest pizza","[148.53, 116.9, 316.31, 71.51]"
230_2,230,579299,657,"background pizz","[148.53, 116.9, 316.31, 71.51]"
231_0,231,579299,658,"big pizza","[13.75, 235.17, 577.62, 358.95]"
231_1,231,579299,659,"pizza closest to you","[13.75, 235.17, 577.62, 358.95]"
232_0,232,579299,660,"ice cup","[499.08, 33.44, 96.01, 156.13]"
232_1,232,579299,661,"plastic cup with just ice","[499.08, 33.44, 96.01, 156.13]"
232_2,232,579299,662,"glass of ice cubes no drink","[499.08, 33.44, 96.01, 156.13]"
233_0,233,579299,663,"drink with red stuff","[14.88, 74.61, 137.53, 222.53]"
233_1,233,579299,664,"cup filled with beverage","[14.88, 74.61, 137.53, 222.53]"
233_2,233,579299,665,"full glass of juice","[14.88, 74.61, 137.53, 222.53]"
257_0,257,579057,732,"partially out of frame orange in a group of two","[1.66, 385.66, 118.03, 136.31]"
257_1,257,579057,733,"cut off lemon","[1.66, 385.66, 118.03, 136.31]"
257_2,257,579057,734,"yellow round fruit with blemish","[1.66, 385.66, 118.03, 136.31]"
258_0,258,579057,735,"an orange on an apple","[92.58, 287.67, 140.8, 147.84]"
258_1,258,579057,736,"perfectly rounf orange between bananas and apples","[92.58, 287.67, 140.8, 147.84]"
258_2,258,579057,737,"orange above","[92.58, 287.67, 140.8, 147.84]"
259_0,259,579057,738,"cleanest looking apple no brown","[227.39, 290.64, 195.76, 207.81]"
259_1,259,579057,739,"white fruit with no blemishes","[227.39, 290.64, 195.76, 207.81]"
282_0,282,578734,799,"limes near edge beneath half cut lime","[359.06, 329.14, 120.94, 226.08]"
283_0,283,578734,800,"lime with a perfect hole and line","[69.71, 416.51, 111.39, 117.87]"
283_1,283,578734,801,"surrounded by others with a little deeper hole","[69.71, 416.51, 111.39, 117.87]"
283_2,283,578734,802,"lime with line on its skin","[69.71, 416.51, 111.39, 117.87]"
284_0,284,578734,803,"fourth lime","[298.45, 441.2, 119.37, 126.01]"
284_1,284,578734,804,"fourth orange on lowest row","[298.45, 441.2, 119.37, 126.01]"
284_2,284,578734,805,"lowest row fourth","[298.45, 441.2, 119.37, 126.01]"
285_0,285,578734,806,"not cut piece but 7pm of cut piece","[266.27, 324.46, 114.06, 117.35]"
296_0,296,578619,834,"snoopy the white one","[32.42, 73.56, 349.09, 274.28]"
296_1,296,578619,835,"white stuffed dog","[32.42, 73.56, 349.09, 274.28]"
296_2,296,578619,836,"white bear","[32.42, 73.56, 349.09, 274.28]"
297_0,297,578619,837,"brown animal","[300.57, 205.23, 339.43, 274.19]"
297_1,297,578619,838,"brown animal","[300.57, 205.23, 339.43, 274.19]"
297_2,297,578619,839,"brown animal","[300.57, 205.23, 339.43, 274.19]"
323_0,323,578294,914,"vase in a weird shape","[427.37, 161.07, 188.7, 275.32]"
323_1,323,578294,915,"figure 8 vase","[427.37, 161.07, 188.7, 275.32]"
323_2,323,578294,916,"case 3 o clock","[427.37, 161.07, 188.7, 275.32]"
324_0,324,578294,917,"smallest on the left","[30.2, 174.74, 160.72, 245.93]"
324_1,324,578294,918,"vase with blue jay","[30.2, 174.74, 160.72, 245.93]"
324_2,324,578294,919,"blue bird","[30.2, 174.74, 160.72, 245.93]"
325_0,325,578294,920,"tallest vase","[243.78, 94.74, 146.69, 328.99]"
325_1,325,578294,921,"large vase with flowers","[243.78, 94.74, 146.69, 328.99]"
325_2,325,578294,922,"tall vase","[243.78, 94.74, 146.69, 328.99]"
357_0,357,578002,1013,"wine glass on table","[17.21, 450.17, 156.29, 173.75]"
357_1,357,578002,1014,"small glass","[17.21, 450.17, 156.29, 173.75]"
357_2,357,578002,1015,"empty glass","[17.21, 450.17, 156.29, 173.75]"
358_0,358,578002,1016,"main glass","[268.99, 80.88, 239.3, 317.22]"
358_1,358,578002,1017,"glass with words","[268.99, 80.88, 239.3, 317.22]"
358_2,358,578002,1018,"glass in hand","[268.99, 80.88, 239.3, 317.22]"
359_0,359,578002,1019,"green cover","[442.17, 11.68, 128.03, 271.51]"
359_1,359,578002,1020,"green with letter aft","[442.17, 11.68, 128.03, 271.51]"
359_2,359,578002,1021,"green covering","[442.17, 11.68, 128.03, 271.51]"
360_0,360,578002,1022,"black labeled bottle with white swooshy","[16.73, 184.6, 124.28, 258.98]"
360_1,360,578002,1023,"wine bottle at 9","[16.73, 184.6, 124.28, 258.98]"
361_0,361,578002,1024,"full visible bottle","[125.25, 75.7, 139.01, 308.3]"
432_0,432,577197,1228,"white and black face horse","[449.26, 102.71, 190.74, 242.73]"
432_1,432,577197,1229,"horse next to woman","[449.26, 102.71, 190.74, 242.73]"
